,Symbol,Start,End,Label,Market.Cap,Sector,Income,Sales,Employees,price.to.earnings,Price.Earnings.to.Growth,Price.to.Sales.Ratio,Price.to.Book,Price.to.free.cash.flow,debt.to.equity,EPS..ttm.,Inst.Own,ROE,ROI,Profit.Margin,Shs.Outstand,Beta
1355,STN,32.09,55.74,UP,5426328403,Consumer Discretionary,141000000,2950000000,25000,38.96,5.55,1.86,3.71,54.27,1.02,1.27,0.797,0.096,0.051,0.048,110900000,0.96
1356,STNG,11.5,12.6,UP,2860244043,Consumer Discretionary,-12600000,846300000,26,0,0,3.39,1.35,5.98,1.15,-0.73,0.531,0.171,-0.02,0.386,55000000,0.5
1357,STOR,32.1,34.67,UP,8979545027,Real Estate,328000000,854200000,117,26.54,4.36,10.49,1.66,0,0.87,1.19,0.818,0.063,0.023,0.384,280840000,0.98
1358,STR,13.4,19.36,UP,362311056,Energy,16800000,193500000,11,40.37,0,13.22,3.29,22.98,4.27,0.76,0.693,0.094,0.169,0.061,12520000,1.73
1359,STT,72.25,93.24,UP,27175587287,Finance,2630000000,2870000000,41354,10.76,2.34,9.67,1.18,3.68,0.59,7.06,0.922,0.108,0.037,0.917,367790000,1.62
1360,STWD,18.52,24.38,UP,6386965414,Real Estate,741000000,1760000000,277,8.4,1.68,3.56,0.97,0,3.01,2.43,0.474,0.128,0.007,0.421,305040000,1.54
1361,STZ,216.74,249.39,UP,45351431180,Consumer Staples,104500000,9440000000,10000,0,0,4.98,4.86,41.02,1.17,-0.1,0.827,0.01,0.09,0.011,184940000,0.98
1362,SUI,146.13,209.5,UP,16800754090,Real Estate,250100000,2840000000,5961,63.57,21.19,5.73,1.99,0,0.84,2.06,0.981,0.034,0.038,0.088,122400000,0.65
1363,SUM,20.42,40.01,UP,3117206080,Industrials,273900000,2420000000,5500,12.1,0.7,1.37,1.71,35.1,0.8,2.3,0,0.151,0.063,0.113,118240000,1.35
1364,SUN,28.61,40.48,UP,3692370027,Energy,463000000,22950000000,2225,7.75,2.98,0.15,3.62,0,3.61,5.47,0.211,0.575,0.168,0.022,83740000,1.41
1365,SUP,4.15,4.38,UP,123193530,Consumer Discretionary,-25400000,1510000000,7800,0,0,0.07,0,0,0,-0.98,0.476,0.419,0.089,-0.017,26920000,3.97
1366,SUPV,2.02,1.94,DOWN,167160369,Finance,-20200000,856400000,230,0,0,0.34,0.39,0,0.04,-0.22,0.031,-0.05,0.429,-0.024,91340000,1.42
1367,SWCH,16.14,28.62,UP,5341521392,Technology,379000000,652300000,829,22.27,0.86,8.19,6.86,0,2.48,1.52,0.814,0.881,0.027,0.581,150040000,0.59
